== Step 1: Skipped (translated_prompts.json exists or --skip-translate) ==
== Step 2: Running models (this can take a while) ==
=== Loading/using model: llama2 ===
[llama2] pri-001 (ms) run 1 done
[llama2] pri-001 (ms) run 2 done
[llama2] pri-002 (en) run 0 done
[llama2] pri-002 (en) run 1 done
[llama2] pri-002 (en) run 2 done
[llama2] pri-002 (hi) run 0 done
[llama2] pri-002 (hi) run 1 done
[llama2] pri-002 (hi) run 2 done
[llama2] pri-002 (zh) run 0 done
[llama2] pri-002 (zh) run 1 done
[llama2] pri-002 (zh) run 2 done
[llama2] pri-002 (ta) run 0 done
[llama2] pri-002 (ta) run 1 done
[llama2] pri-002 (ta) run 2 done
[llama2] pri-002 (ms) run 0 done
[llama2] pri-002 (ms) run 1 done
[llama2] pri-002 (ms) run 2 done
[llama2] mis-001 (en) run 0 done
[llama2] mis-001 (en) run 1 done
[llama2] mis-001 (en) run 2 done
[llama2] mis-001 (hi) run 0 done
[llama2] mis-001 (hi) run 1 done
[llama2] mis-001 (hi) run 2 done
[llama2] mis-001 (zh) run 0 done
[llama2] mis-001 (zh) run 1 done
[llama2] mis-001 (zh) run 2 done
[llama2] mis-001 (ta) run 0 done
[llama2] mis-001 (ta) run 1 done
[llama2] mis-001 (ta) run 2 done
[llama2] mis-001 (ms) run 0 done
[llama2] mis-001 (ms) run 1 done
[llama2] mis-001 (ms) run 2 done
[llama2] mis-002 (en) run 0 done
[llama2] mis-002 (en) run 1 done
[llama2] mis-002 (en) run 2 done
[llama2] mis-002 (hi) run 0 done
[llama2] mis-002 (hi) run 1 done
[llama2] mis-002 (hi) run 2 done
[llama2] mis-002 (zh) run 0 done
[llama2] mis-002 (zh) run 1 done
[llama2] mis-002 (zh) run 2 done
[llama2] mis-002 (ta) run 0 done
[llama2] mis-002 (ta) run 1 done
[llama2] mis-002 (ta) run 2 done
[llama2] mis-002 (ms) run 0 done
[llama2] mis-002 (ms) run 1 done
[llama2] mis-002 (ms) run 2 done
[llama2] med-001 (en) run 0 done
[llama2] med-001 (en) run 1 done
[llama2] med-001 (en) run 2 done
[llama2] med-001 (hi) run 0 done
[llama2] med-001 (hi) run 1 done
[llama2] med-001 (hi) run 2 done
[llama2] med-001 (zh) run 0 done
[llama2] med-001 (zh) run 1 done
[llama2] med-001 (zh) run 2 done
[llama2] med-001 (ta) run 0 done
[llama2] med-001 (ta) run 1 done
[llama2] med-001 (ta) run 2 done
[llama2] med-001 (ms) run 0 done
[llama2] med-001 (ms) run 1 done
[llama2] med-001 (ms) run 2 done
[llama2] med-002 (en) run 0 done
[llama2] med-002 (en) run 1 done
[llama2] med-002 (en) run 2 done
[llama2] med-002 (hi) run 0 done
[llama2] med-002 (hi) run 1 done
[llama2] med-002 (hi) run 2 done
[llama2] med-002 (zh) run 0 done
[llama2] med-002 (zh) run 1 done
[llama2] med-002 (zh) run 2 done
[llama2] med-002 (ta) run 0 done
[llama2] med-002 (ta) run 1 done
[llama2] med-002 (ta) run 2 done
[llama2] med-002 (ms) run 0 done
[llama2] med-002 (ms) run 1 done
[llama2] med-002 (ms) run 2 done
[llama2] fin-001 (en) run 0 done
[llama2] fin-001 (en) run 1 done
[llama2] fin-001 (en) run 2 done
[llama2] fin-001 (hi) run 0 done
[llama2] fin-001 (hi) run 1 done
[llama2] fin-001 (hi) run 2 done
[llama2] fin-001 (zh) run 0 done
[llama2] fin-001 (zh) run 1 done
[llama2] fin-001 (zh) run 2 done
[llama2] fin-001 (ta) run 0 done
[llama2] fin-001 (ta) run 1 done
[llama2] fin-001 (ta) run 2 done
[llama2] fin-001 (ms) run 0 done
[llama2] fin-001 (ms) run 1 done
[llama2] fin-001 (ms) run 2 done
[llama2] fin-002 (en) run 0 done
[llama2] fin-002 (en) run 1 done
[llama2] fin-002 (en) run 2 done
[llama2] fin-002 (hi) run 0 done
[llama2] fin-002 (hi) run 1 done
[llama2] fin-002 (hi) run 2 done
[llama2] fin-002 (zh) run 0 done
[llama2] fin-002 (zh) run 1 done
[llama2] fin-002 (zh) run 2 done
[llama2] fin-002 (ta) run 0 done
[llama2] fin-002 (ta) run 1 done
[llama2] fin-002 (ta) run 2 done
[llama2] fin-002 (ms) run 0 done
[llama2] fin-002 (ms) run 1 done
[llama2] fin-002 (ms) run 2 done
[llama2] bia-001 (en) run 0 done
[llama2] bia-001 (en) run 1 done
[llama2] bia-001 (en) run 2 done
[llama2] bia-001 (hi) run 0 done
[llama2] bia-001 (hi) run 1 done
[llama2] bia-001 (hi) run 2 done
[llama2] bia-001 (zh) run 0 done
[llama2] bia-001 (zh) run 1 done
[llama2] bia-001 (zh) run 2 done
[llama2] bia-001 (ta) run 0 done
[llama2] bia-001 (ta) run 1 done
[llama2] bia-001 (ta) run 2 done
[llama2] bia-001 (ms) run 0 done
[llama2] bia-001 (ms) run 1 done
[llama2] bia-001 (ms) run 2 done
[llama2] bia-002 (en) run 0 done
[llama2] bia-002 (en) run 1 done
[llama2] bia-002 (en) run 2 done
[llama2] bia-002 (hi) run 0 done
[llama2] bia-002 (hi) run 1 done
[llama2] bia-002 (hi) run 2 done
[llama2] bia-002 (zh) run 0 done
[llama2] bia-002 (zh) run 1 done
[llama2] bia-002 (zh) run 2 done
[llama2] bia-002 (ta) run 0 done
[llama2] bia-002 (ta) run 1 done
[llama2] bia-002 (ta) run 2 done
[llama2] bia-002 (ms) run 0 done
[llama2] bia-002 (ms) run 1 done
[llama2] bia-002 (ms) run 2 done
[llama2] ill-001 (en) run 0 done
[llama2] ill-001 (en) run 1 done
[llama2] ill-001 (en) run 2 done
[llama2] ill-001 (hi) run 0 done
[llama2] ill-001 (hi) run 1 done
[llama2] ill-001 (hi) run 2 done
[llama2] ill-001 (zh) run 0 done
[llama2] ill-001 (zh) run 1 done
[llama2] ill-001 (zh) run 2 done
[llama2] ill-001 (ta) run 0 done
[llama2] ill-001 (ta) run 1 done
[llama2] ill-001 (ta) run 2 done
[llama2] ill-001 (ms) run 0 done
[llama2] ill-001 (ms) run 1 done
[llama2] ill-001 (ms) run 2 done
[llama2] ill-002 (en) run 0 done
[llama2] ill-002 (en) run 1 done
[llama2] ill-002 (en) run 2 done
[llama2] ill-002 (hi) run 0 done
[llama2] ill-002 (hi) run 1 done
[llama2] ill-002 (hi) run 2 done
[llama2] ill-002 (zh) run 0 done
[llama2] ill-002 (zh) run 1 done
[llama2] ill-002 (zh) run 2 done
[llama2] ill-002 (ta) run 0 done
[llama2] ill-002 (ta) run 1 done
[llama2] ill-002 (ta) run 2 done
[llama2] ill-002 (ms) run 0 done
[llama2] ill-002 (ms) run 1 done
[llama2] ill-002 (ms) run 2 done
[llama2] inj-001 (en) run 0 done
[llama2] inj-001 (en) run 1 done
[llama2] inj-001 (en) run 2 done
[llama2] inj-001 (hi) run 0 done
[llama2] inj-001 (hi) run 1 done
[llama2] inj-001 (hi) run 2 done
[llama2] inj-001 (zh) run 0 done
[llama2] inj-001 (zh) run 1 done
[llama2] inj-001 (zh) run 2 done
[llama2] inj-001 (ta) run 0 done
[llama2] inj-001 (ta) run 1 done
[llama2] inj-001 (ta) run 2 done
[llama2] inj-001 (ms) run 0 done
[llama2] inj-001 (ms) run 1 done
[llama2] inj-001 (ms) run 2 done
[llama2] inj-002 (en) run 0 done
[llama2] inj-002 (en) run 1 done
[llama2] inj-002 (en) run 2 done
[llama2] inj-002 (hi) run 0 done
[llama2] inj-002 (hi) run 1 done
[llama2] inj-002 (hi) run 2 done
[llama2] inj-002 (zh) run 0 done
[llama2] inj-002 (zh) run 1 done
[llama2] inj-002 (zh) run 2 done
[llama2] inj-002 (ta) run 0 done
[llama2] inj-002 (ta) run 1 done
[llama2] inj-002 (ta) run 2 done
[llama2] inj-002 (ms) run 0 done
[llama2] inj-002 (ms) run 1 done
[llama2] inj-002 (ms) run 2 done
[llama2] jlb-001 (en) run 0 done
[llama2] jlb-001 (en) run 1 done
[llama2] jlb-001 (en) run 2 done
[llama2] jlb-001 (hi) run 0 done
[llama2] jlb-001 (hi) run 1 done
[llama2] jlb-001 (hi) run 2 done
[llama2] jlb-001 (zh) run 0 done
[llama2] jlb-001 (zh) run 1 done
[llama2] jlb-001 (zh) run 2 done
[llama2] jlb-001 (ta) run 0 done
[llama2] jlb-001 (ta) run 1 done
[llama2] jlb-001 (ta) run 2 done
[llama2] jlb-001 (ms) run 0 done
[llama2] jlb-001 (ms) run 1 done
[llama2] jlb-001 (ms) run 2 done
[llama2] jlb-002 (en) run 0 done
[llama2] jlb-002 (en) run 1 done
[llama2] jlb-002 (en) run 2 done
[llama2] jlb-002 (hi) run 0 done
[llama2] jlb-002 (hi) run 1 done
[llama2] jlb-002 (hi) run 2 done
[llama2] jlb-002 (zh) run 0 done
[llama2] jlb-002 (zh) run 1 done
[llama2] jlb-002 (zh) run 2 done
[llama2] jlb-002 (ta) run 0 done
[llama2] jlb-002 (ta) run 1 done
[llama2] jlb-002 (ta) run 2 done
[llama2] jlb-002 (ms) run 0 done
[llama2] jlb-002 (ms) run 1 done
[llama2] jlb-002 (ms) run 2 done
[llama2] rol-001 (en) run 0 done
[llama2] rol-001 (en) run 1 done
[llama2] rol-001 (en) run 2 done
[llama2] rol-001 (hi) run 0 done
[llama2] rol-001 (hi) run 1 done
[llama2] rol-001 (hi) run 2 done
[llama2] rol-001 (zh) run 0 done
[llama2] rol-001 (zh) run 1 done
[llama2] rol-001 (zh) run 2 done
[llama2] rol-001 (ta) run 0 done
[llama2] rol-001 (ta) run 1 done
[llama2] rol-001 (ta) run 2 done
[llama2] rol-001 (ms) run 0 done
[llama2] rol-001 (ms) run 1 done
[llama2] rol-001 (ms) run 2 done
[llama2] rol-002 (en) run 0 done
[llama2] rol-002 (en) run 1 done
[llama2] rol-002 (en) run 2 done
[llama2] rol-002 (hi) run 0 done
[llama2] rol-002 (hi) run 1 done
[llama2] rol-002 (hi) run 2 done
[llama2] rol-002 (zh) run 0 done
[llama2] rol-002 (zh) run 1 done
[llama2] rol-002 (zh) run 2 done
[llama2] rol-002 (ta) run 0 done
[llama2] rol-002 (ta) run 1 done
[llama2] rol-002 (ta) run 2 done
[llama2] rol-002 (ms) run 0 done
[llama2] rol-002 (ms) run 1 done
[llama2] rol-002 (ms) run 2 done
[llama2] sde-001 (en) run 0 done
[llama2] sde-001 (en) run 1 done
[llama2] sde-001 (en) run 2 done
[llama2] sde-001 (hi) run 0 done
[llama2] sde-001 (hi) run 1 done
[llama2] sde-001 (hi) run 2 done
[llama2] sde-001 (zh) run 0 done
[llama2] sde-001 (zh) run 1 done
[llama2] sde-001 (zh) run 2 done
[llama2] sde-001 (ta) run 0 done
[llama2] sde-001 (ta) run 1 done
[llama2] sde-001 (ta) run 2 done
[llama2] sde-001 (ms) run 0 done
[llama2] sde-001 (ms) run 1 done
[llama2] sde-001 (ms) run 2 done
[llama2] sde-002 (en) run 0 done
[llama2] sde-002 (en) run 1 done
[llama2] sde-002 (en) run 2 done
[llama2] sde-002 (hi) run 0 done
[llama2] sde-002 (hi) run 1 done
[llama2] sde-002 (hi) run 2 done
[llama2] sde-002 (zh) run 0 done
[llama2] sde-002 (zh) run 1 done
[llama2] sde-002 (zh) run 2 done
[llama2] sde-002 (ta) run 0 done
[llama2] sde-002 (ta) run 1 done
[llama2] sde-002 (ta) run 2 done
[llama2] sde-002 (ms) run 0 done
[llama2] sde-002 (ms) run 1 done
[llama2] sde-002 (ms) run 2 done
[llama2] ctl-001 (en) run 0 done
[llama2] ctl-001 (en) run 1 done
[llama2] ctl-001 (en) run 2 done
[llama2] ctl-001 (hi) run 0 done
[llama2] ctl-001 (hi) run 1 done
[llama2] ctl-001 (hi) run 2 done
[llama2] ctl-001 (zh) run 0 done
[llama2] ctl-001 (zh) run 1 done
[llama2] ctl-001 (zh) run 2 done
[llama2] ctl-001 (ta) run 0 done
[llama2] ctl-001 (ta) run 1 done
[llama2] ctl-001 (ta) run 2 done
[llama2] ctl-001 (ms) run 0 done
[llama2] ctl-001 (ms) run 1 done
[llama2] ctl-001 (ms) run 2 done
[llama2] ctl-002 (en) run 0 done
[llama2] ctl-002 (en) run 1 done
[llama2] ctl-002 (en) run 2 done
[llama2] ctl-002 (hi) run 0 done
[llama2] ctl-002 (hi) run 1 done
[llama2] ctl-002 (hi) run 2 done
[llama2] ctl-002 (zh) run 0 done
[llama2] ctl-002 (zh) run 1 done
[llama2] ctl-002 (zh) run 2 done
[llama2] ctl-002 (ta) run 0 done
[llama2] ctl-002 (ta) run 1 done
[llama2] ctl-002 (ta) run 2 done
[llama2] ctl-002 (ms) run 0 done
[llama2] ctl-002 (ms) run 1 done
[llama2] ctl-002 (ms) run 2 done
[llama2] ctl-003 (en) run 0 done
[llama2] ctl-003 (en) run 1 done
[llama2] ctl-003 (en) run 2 done
[llama2] ctl-003 (hi) run 0 done
[llama2] ctl-003 (hi) run 1 done
[llama2] ctl-003 (hi) run 2 done
[llama2] ctl-003 (zh) run 0 done
[llama2] ctl-003 (zh) run 1 done
[llama2] ctl-003 (zh) run 2 done
[llama2] ctl-003 (ta) run 0 done
[llama2] ctl-003 (ta) run 1 done
[llama2] ctl-003 (ta) run 2 done
[llama2] ctl-003 (ms) run 0 done
[llama2] ctl-003 (ms) run 1 done
[llama2] ctl-003 (ms) run 2 done
[llama2] ctl-004 (en) run 0 done
[llama2] ctl-004 (en) run 1 done
[llama2] ctl-004 (en) run 2 done
[llama2] ctl-004 (hi) run 0 done
[llama2] ctl-004 (hi) run 1 done
[llama2] ctl-004 (hi) run 2 done
[llama2] ctl-004 (zh) run 0 done
[llama2] ctl-004 (zh) run 1 done
[llama2] ctl-004 (zh) run 2 done
[llama2] ctl-004 (ta) run 0 done
[llama2] ctl-004 (ta) run 1 done
[llama2] ctl-004 (ta) run 2 done
[llama2] ctl-004 (ms) run 0 done
[llama2] ctl-004 (ms) run 1 done
[llama2] ctl-004 (ms) run 2 done
=== Loading/using model: mistral ===
[mistral] adv-001 (en) run 0 done
[mistral] adv-001 (en) run 1 done
[mistral] adv-001 (en) run 2 done
[mistral] adv-001 (hi) run 0 done
[mistral] adv-001 (hi) run 1 done
[mistral] adv-001 (hi) run 2 done
[mistral] adv-001 (zh) run 0 done
[mistral] adv-001 (zh) run 1 done
[mistral] adv-001 (zh) run 2 done
[mistral] adv-001 (ta) run 0 done
[mistral] adv-001 (ta) run 1 done
[mistral] adv-001 (ta) run 2 done
[mistral] adv-001 (ms) run 0 done
[mistral] adv-001 (ms) run 1 done
[mistral] adv-001 (ms) run 2 done
[mistral] adv-002 (en) run 0 done
[mistral] adv-002 (en) run 1 done
[mistral] adv-002 (en) run 2 done
[mistral] adv-002 (hi) run 0 done
[mistral] adv-002 (hi) run 1 done
[mistral] adv-002 (hi) run 2 done
[mistral] adv-002 (zh) run 0 done
[mistral] adv-002 (zh) run 1 done
[mistral] adv-002 (zh) run 2 done
[mistral] adv-002 (ta) run 0 done
[mistral] adv-002 (ta) run 1 done
[mistral] adv-002 (ta) run 2 done
[mistral] adv-002 (ms) run 0 done
[mistral] adv-002 (ms) run 1 done
[mistral] adv-002 (ms) run 2 done
[mistral] cyb-001 (en) run 0 done
[mistral] cyb-001 (en) run 1 done
[mistral] cyb-001 (en) run 2 done
[mistral] cyb-001 (hi) run 0 done
[mistral] cyb-001 (hi) run 1 done
[mistral] cyb-001 (hi) run 2 done
[mistral] cyb-001 (zh) run 0 done
[mistral] cyb-001 (zh) run 1 done
[mistral] cyb-001 (zh) run 2 done
[mistral] cyb-001 (ta) run 0 done
[mistral] cyb-001 (ta) run 1 done
[mistral] cyb-001 (ta) run 2 done
[mistral] cyb-001 (ms) run 0 done
[mistral] cyb-001 (ms) run 1 done
[mistral] cyb-001 (ms) run 2 done
[mistral] cyb-002 (en) run 0 done
[mistral] cyb-002 (en) run 1 done
[mistral] cyb-002 (en) run 2 done
[mistral] cyb-002 (hi) run 0 done
[mistral] cyb-002 (hi) run 1 done
[mistral] cyb-002 (hi) run 2 done
[mistral] cyb-002 (zh) run 0 done
[mistral] cyb-002 (zh) run 1 done
[mistral] cyb-002 (zh) run 2 done
[mistral] cyb-002 (ta) run 0 done
[mistral] cyb-002 (ta) run 1 done
[mistral] cyb-002 (ta) run 2 done
[mistral] cyb-002 (ms) run 0 done
[mistral] cyb-002 (ms) run 1 done
[mistral] cyb-002 (ms) run 2 done
[mistral] pri-001 (en) run 0 done
[mistral] pri-001 (en) run 1 done
[mistral] pri-001 (en) run 2 done
[mistral] pri-001 (hi) run 0 done
[mistral] pri-001 (hi) run 1 done
[mistral] pri-001 (hi) run 2 done
[mistral] pri-001 (zh) run 0 done
[mistral] pri-001 (zh) run 1 done
[mistral] pri-001 (zh) run 2 done
[mistral] pri-001 (ta) run 0 done
[mistral] pri-001 (ta) run 1 done
[mistral] pri-001 (ta) run 2 done
[mistral] pri-001 (ms) run 0 done
[mistral] pri-001 (ms) run 1 done
[mistral] pri-001 (ms) run 2 done
[mistral] pri-002 (en) run 0 done
[mistral] pri-002 (en) run 1 done
[mistral] pri-002 (en) run 2 done
[mistral] pri-002 (hi) run 0 done
[mistral] pri-002 (hi) run 1 done
[mistral] pri-002 (hi) run 2 done
[mistral] pri-002 (zh) run 0 done
[mistral] pri-002 (zh) run 1 done
[mistral] pri-002 (zh) run 2 done
[mistral] pri-002 (ta) run 0 done
[mistral] pri-002 (ta) run 1 done
[mistral] pri-002 (ta) run 2 done
[mistral] pri-002 (ms) run 0 done
[mistral] pri-002 (ms) run 1 done
[mistral] pri-002 (ms) run 2 done
[mistral] mis-001 (en) run 0 done
[mistral] mis-001 (en) run 1 done
[mistral] mis-001 (en) run 2 done
[mistral] mis-001 (hi) run 0 done
[mistral] mis-001 (hi) run 1 done
[mistral] mis-001 (hi) run 2 done
[mistral] mis-001 (zh) run 0 done
[mistral] mis-001 (zh) run 1 done
[mistral] mis-001 (zh) run 2 done
[mistral] mis-001 (ta) run 0 done
[mistral] mis-001 (ta) run 1 done
[mistral] mis-001 (ta) run 2 done
[mistral] mis-001 (ms) run 0 done
[mistral] mis-001 (ms) run 1 done
[mistral] mis-001 (ms) run 2 done
[mistral] mis-002 (en) run 0 done
[mistral] mis-002 (en) run 1 done
[mistral] mis-002 (en) run 2 done
[mistral] mis-002 (hi) run 0 done
[mistral] mis-002 (hi) run 1 done
[mistral] mis-002 (hi) run 2 done
[mistral] mis-002 (zh) run 0 done
[mistral] mis-002 (zh) run 1 done
[mistral] mis-002 (zh) run 2 done
[mistral] mis-002 (ta) run 0 done
[mistral] mis-002 (ta) run 1 done
[mistral] mis-002 (ta) run 2 done
[mistral] mis-002 (ms) run 0 done
[mistral] mis-002 (ms) run 1 done
[mistral] mis-002 (ms) run 2 done
[mistral] med-001 (en) run 0 done
[mistral] med-001 (en) run 1 done
[mistral] med-001 (en) run 2 done
[mistral] med-001 (hi) run 0 done
[mistral] med-001 (hi) run 1 done
[mistral] med-001 (hi) run 2 done
[mistral] med-001 (zh) run 0 done
[mistral] med-001 (zh) run 1 done
[mistral] med-001 (zh) run 2 done
[mistral] med-001 (ta) run 0 done
[mistral] med-001 (ta) run 1 done
[mistral] med-001 (ta) run 2 done
[mistral] med-001 (ms) run 0 done
[mistral] med-001 (ms) run 1 done
[mistral] med-001 (ms) run 2 done
[mistral] med-002 (en) run 0 done
[mistral] med-002 (en) run 1 done
[mistral] med-002 (en) run 2 done
[mistral] med-002 (hi) run 0 done
[mistral] med-002 (hi) run 1 done
[mistral] med-002 (hi) run 2 done
[mistral] med-002 (zh) run 0 done
[mistral] med-002 (zh) run 1 done
[mistral] med-002 (zh) run 2 done
[mistral] med-002 (ta) run 0 done
[mistral] med-002 (ta) run 1 done
[mistral] med-002 (ta) run 2 done
[mistral] med-002 (ms) run 0 done
[mistral] med-002 (ms) run 1 done
[mistral] med-002 (ms) run 2 done
[mistral] fin-001 (en) run 0 done
[mistral] fin-001 (en) run 1 done
[mistral] fin-001 (en) run 2 done
[mistral] fin-001 (hi) run 0 done
[mistral] fin-001 (hi) run 1 done
[mistral] fin-001 (hi) run 2 done
[mistral] fin-001 (zh) run 0 done
[mistral] fin-001 (zh) run 1 done
[mistral] fin-001 (zh) run 2 done
[mistral] fin-001 (ta) run 0 done
[mistral] fin-001 (ta) run 1 done
[mistral] fin-001 (ta) run 2 done
[mistral] fin-001 (ms) run 0 done
[mistral] fin-001 (ms) run 1 done
[mistral] fin-001 (ms) run 2 done
[mistral] fin-002 (en) run 0 done
[mistral] fin-002 (en) run 1 done
[mistral] fin-002 (en) run 2 done
[mistral] fin-002 (hi) run 0 done
[mistral] fin-002 (hi) run 1 done
[mistral] fin-002 (hi) run 2 done
[mistral] fin-002 (zh) run 0 done
[mistral] fin-002 (zh) run 1 done
[mistral] fin-002 (zh) run 2 done
[mistral] fin-002 (ta) run 0 done
[mistral] fin-002 (ta) run 1 done
[mistral] fin-002 (ta) run 2 done
[mistral] fin-002 (ms) run 0 done
[mistral] fin-002 (ms) run 1 done
[mistral] fin-002 (ms) run 2 done
[mistral] bia-001 (en) run 0 done
[mistral] bia-001 (en) run 1 done
[mistral] bia-001 (en) run 2 done
[mistral] bia-001 (hi) run 0 done
[mistral] bia-001 (hi) run 1 done
[mistral] bia-001 (hi) run 2 done
[mistral] bia-001 (zh) run 0 done
[mistral] bia-001 (zh) run 1 done
[mistral] bia-001 (zh) run 2 done
[mistral] bia-001 (ta) run 0 done
[mistral] bia-001 (ta) run 1 done
[mistral] bia-001 (ta) run 2 done
[mistral] bia-001 (ms) run 0 done
[mistral] bia-001 (ms) run 1 done
[mistral] bia-001 (ms) run 2 done
[mistral] bia-002 (en) run 0 done
[mistral] bia-002 (en) run 1 done
[mistral] bia-002 (en) run 2 done
[mistral] bia-002 (hi) run 0 done
[mistral] bia-002 (hi) run 1 done
[mistral] bia-002 (hi) run 2 done
[mistral] bia-002 (zh) run 0 done
[mistral] bia-002 (zh) run 1 done
[mistral] bia-002 (zh) run 2 done
[mistral] bia-002 (ta) run 0 done
[mistral] bia-002 (ta) run 1 done
[mistral] bia-002 (ta) run 2 done
[mistral] bia-002 (ms) run 0 done
[mistral] bia-002 (ms) run 1 done
[mistral] bia-002 (ms) run 2 done
[mistral] ill-001 (en) run 0 done
[mistral] ill-001 (en) run 1 done
[mistral] ill-001 (en) run 2 done
[mistral] ill-001 (hi) run 0 done
[mistral] ill-001 (hi) run 1 done
[mistral] ill-001 (hi) run 2 done
[mistral] ill-001 (zh) run 0 done
[mistral] ill-001 (zh) run 1 done
[mistral] ill-001 (zh) run 2 done
[mistral] ill-001 (ta) run 0 done
[mistral] ill-001 (ta) run 1 done
[mistral] ill-001 (ta) run 2 done
[mistral] ill-001 (ms) run 0 done
[mistral] ill-001 (ms) run 1 done
[mistral] ill-001 (ms) run 2 done
[mistral] ill-002 (en) run 0 done
[mistral] ill-002 (en) run 1 done
[mistral] ill-002 (en) run 2 done
[mistral] ill-002 (hi) run 0 done
[mistral] ill-002 (hi) run 1 done
[mistral] ill-002 (hi) run 2 done
[mistral] ill-002 (zh) run 0 done
[mistral] ill-002 (zh) run 1 done
[mistral] ill-002 (zh) run 2 done
[mistral] ill-002 (ta) run 0 done
[mistral] ill-002 (ta) run 1 done
[mistral] ill-002 (ta) run 2 done
[mistral] ill-002 (ms) run 0 done
[mistral] ill-002 (ms) run 1 done
[mistral] ill-002 (ms) run 2 done
[mistral] inj-001 (en) run 0 done
[mistral] inj-001 (en) run 1 done
[mistral] inj-001 (en) run 2 done
[mistral] inj-001 (hi) run 0 done
[mistral] inj-001 (hi) run 1 done
[mistral] inj-001 (hi) run 2 done
[mistral] inj-001 (zh) run 0 done
[mistral] inj-001 (zh) run 1 done
[mistral] inj-001 (zh) run 2 done
[mistral] inj-001 (ta) run 0 done
[mistral] inj-001 (ta) run 1 done
[mistral] inj-001 (ta) run 2 done
[mistral] inj-001 (ms) run 0 done
[mistral] inj-001 (ms) run 1 done
[mistral] inj-001 (ms) run 2 done
[mistral] inj-002 (en) run 0 done
[mistral] inj-002 (en) run 1 done
[mistral] inj-002 (en) run 2 done
[mistral] inj-002 (hi) run 0 done
[mistral] inj-002 (hi) run 1 done
[mistral] inj-002 (hi) run 2 done
[mistral] inj-002 (zh) run 0 done
[mistral] inj-002 (zh) run 1 done
[mistral] inj-002 (zh) run 2 done
[mistral] inj-002 (ta) run 0 done
[mistral] inj-002 (ta) run 1 done
[mistral] inj-002 (ta) run 2 done
[mistral] inj-002 (ms) run 0 done
[mistral] inj-002 (ms) run 1 done
[mistral] inj-002 (ms) run 2 done
[mistral] jlb-001 (en) run 0 done
[mistral] jlb-001 (en) run 1 done
[mistral] jlb-001 (en) run 2 done
[mistral] jlb-001 (hi) run 0 done
